Match ID,Match Name,Match Date,Series Name,Team1 Name,Team1 Runs Scored,Team1 Wickets Fell,Team2 Name,Team2 Runs Scored,Team2 Wickets Fell,Match Venue (Stadium),Match Venue (City),Match Venue (Country),Toss Winner,Match Winner,Match Result Text,MOM Player
65425,Australia Vs New Zealand 4Th Match,1988-01-07,"Benson & Hedges World Series Cup Australia, New Zealand, Sri Lanka in Australia - 1988 (1987/88)",Australia,216.0,10.0,New Zealand,210.0,9.0,Melbourne Cricket Ground,Melbourne,Australia,Australia,Australia,Australia won by 6 runs,1795.0
65428,New Zealand Vs Sri Lanka 7Th Match,1988-01-12,"Benson & Hedges World Series Cup Australia, New Zealand, Sri Lanka in Australia - 1988 (1987/88)",New Zealand,199.0,7.0,Sri Lanka,200.0,6.0,Bellerive Oval,Hobart,Australia,Sri Lanka,Sri Lanka,Sri Lanka won by 4 wickets (with 21 balls remaining),1810.0
65431,Australia Vs New Zealand 10Th Match,1988-01-17,"Benson & Hedges World Series Cup Australia, New Zealand, Sri Lanka in Australia - 1988 (1987/88)",New Zealand,176.0,5.0,Australia,177.0,5.0,Brisbane Cricket Ground,Brisbane,Australia,Australia,Australia,Australia won by 5 wickets (with 64 balls remaining),1795.0
65432,Australia Vs Sri Lanka 11Th Match,1988-01-19,"Benson & Hedges World Series Cup Australia, New Zealand, Sri Lanka in Australia - 1988 (1987/88)",Sri Lanka,188.0,9.0,Australia,189.0,7.0,Sydney Cricket Ground,Sydney,Australia,Australia,Australia,Australia won by 3 wickets (with 3 balls remaining),1871.0
64326,New Zealand Vs England 3Rd Odi,1988-03-16,England tour of New Zealand  - 1988 (1987/88),England,219.0,10.0,New Zealand,223.0,3.0,McLean Park,Napier,New Zealand,New Zealand,New Zealand,New Zealand won by 7 wickets (with 21 balls remaining),1550.0
65844,India Vs West Indies Sf,1988-10-21,"Champions Trophy India, Pakistan, West Indies in United Arab Emirates - 1988 (1988/89)",India,169.0,7.0,West Indies,175.0,2.0,Sharjah Cricket Association Stadium,Sharjah,United Arab Emirates,India,West Indies,West Indies won by 8 wickets (with 60 balls remaining),1553.0
65676,India Vs Sri Lanka 3Rd Match,1988-10-29,"Wills Asia Cup Bangladesh, India, Pakistan, Sri Lanka in Bangladesh - 1988 (1988/89)",Sri Lanka,271.0,6.0,India,254.0,10.0,National Stadium,Dhaka,Bangladesh,India,Sri Lanka,Sri Lanka won by 17 runs,1762.0
64333,India Vs New Zealand 2Nd Odi,1988-12-12,New Zealand tour of India  - 1988 (1988/89),New Zealand,160.0,7.0,India,161.0,5.0,Barabati Stadium,Cuttack,India,New Zealand,India,India won by 5 wickets (with 21 balls remaining),1743.0
65439,Australia Vs West Indies 4Th Match,1988-12-15,"Benson & Hedges World Series Australia, Pakistan, West Indies in Australia - 1988 (1988/89)",West Indies,236.0,10.0,Australia,202.0,10.0,Melbourne Cricket Ground,Melbourne,Australia,West Indies,West Indies,West Indies won by 34 runs,1884.0
65440,Pakistan Vs West Indies 5Th Match,1988-12-17,"Benson & Hedges World Series Australia, Pakistan, West Indies in Australia - 1988 (1988/89)",West Indies,244.0,4.0,Pakistan,227.0,8.0,Bellerive Oval,Hobart,Australia,Pakistan,West Indies,West Indies won by 17 runs,1553.0
64148,Australia Vs England Only Odi,1971-01-05,England [Marylebone Cricket Club] tour of Australia  - 1970 (1970/71),England,190.0,10.0,Australia,191.0,5.0,Melbourne Cricket Ground,Melbourne,Australia,Australia,Australia,Australia won by 5 wickets (with 42 balls remaining),1203.0
64944,England Vs Australia 1St Odi,1972-08-24,Australia tour of England and Scotland  - 1972 (1972),Australia,222.0,8.0,England,226.0,4.0,Old Trafford,Manchester,England,Australia,England,England won by 6 wickets (with 35 balls remaining),1285.0
64945,England Vs Australia 2Nd Odi,1972-08-26,Australia tour of England and Scotland  - 1972 (1972),England,236.0,9.0,Australia,240.0,5.0,Lord's,London,England,Australia,Australia,Australia won by 5 wickets (with 21 balls remaining),1364.0
64946,England Vs Australia 3Rd Odi,1972-08-28,Australia tour of England and Scotland  - 1972 (1972),Australia,179.0,9.0,England,180.0,8.0,Edgbaston,Birmingham,England,England,England,England won by 2 wickets (with 21 balls remaining),1396.0
64149,New Zealand Vs Pakistan Only Odi,1973-02-11,Pakistan tour of New Zealand  - 1973 (1972/73),New Zealand,187.0,10.0,Pakistan,165.0,10.0,Lancaster Park,Christchurch,New Zealand,Pakistan,New Zealand,New Zealand won by 22 runs,0.0
64947,England Vs New Zealand 1St Odi,1973-07-18,New Zealand tour of England  - 1973 (1973),New Zealand,158.0,10.0,England,159.0,3.0,St Helen's,Swansea,England,New Zealand,England,England won by 7 wickets (with 57 balls remaining),1285.0
64948,England Vs New Zealand 2Nd Odi,1973-07-20,New Zealand tour of England  - 1973 (1973),England,167.0,8.0,New Zealand,0.0,0.0,Old Trafford,Manchester,England,New Zealand,,No result,0.0
64949,England Vs West Indies 1St Odi,1973-09-05,West Indies tour of England  - 1973 (1973),West Indies,181.0,10.0,England,182.0,9.0,Headingley,Leeds,England,West Indies,England,England won by 1 wicket (with 3 balls remaining),1340.0
64950,England Vs West Indies 2Nd Odi,1973-09-07,West Indies tour of England  - 1973 (1973),England,189.0,9.0,West Indies,190.0,2.0,Kennington Oval,London,England,England,West Indies,West Indies won by 8 wickets (with 76 balls remaining),1322.0
64150,New Zealand Vs Australia 1St Odi,1974-03-30,Australia tour of New Zealand  - 1974 (1973/74),New Zealand,194.0,9.0,Australia,195.0,3.0,Carisbrook,Dunedin,New Zealand,New Zealand,Australia,Australia won by 7 wickets (with 85 balls remaining),0.0
64151,New Zealand Vs Australia 2Nd Odi,1974-03-31,Australia tour of New Zealand  - 1974 (1973/74),Australia,265.0,5.0,New Zealand,234.0,6.0,Lancaster Park,Christchurch,New Zealand,Australia,Australia,Australia won by 31 runs,0.0
64951,England Vs India 1St Odi,1974-07-13,India tour of England  - 1974 (1974),India,265.0,10.0,England,266.0,6.0,Headingley,Leeds,England,England,England,England won by 4 wickets (with 23 balls remaining),1203.0
64952,England Vs India 2Nd Odi,1974-07-15,India tour of England  - 1974 (1974),India,171.0,10.0,England,172.0,4.0,Kennington Oval,London,England,India,England,England won by 6 wickets (with 37 balls remaining),1316.0
64953,England Vs Pakistan 1St Odi,1974-08-31,Pakistan tour of England  - 1974 (1974),England,244.0,4.0,Pakistan,246.0,3.0,Trent Bridge,Nottingham,England,England,Pakistan,Pakistan won by 7 wickets (with 43 balls remaining),1239.0
64954,England Vs Pakistan 2Nd Odi,1974-09-03,Pakistan tour of England  - 1974 (1974),England,81.0,9.0,Pakistan,84.0,2.0,Edgbaston,Birmingham,England,Pakistan,Pakistan,Pakistan won by 8 wickets (with 102 balls remaining),1324.0
64152,Australia Vs England Only Odi,1975-01-01,England tour of Australia  - 1974 (1974/75),Australia,190.0,10.0,England,191.0,7.0,Melbourne Cricket Ground,Melbourne,Australia,England,England,England won by 3 wickets (with 23 balls remaining),1243.0
64153,New Zealand Vs England 1St Odi,1975-03-08,England tour of New Zealand  - 1975 (1974/75),England,136.0,10.0,New Zealand,15.0,0.0,Carisbrook,Dunedin,New Zealand,New Zealand,,No result,0.0
64154,New Zealand Vs England 2Nd Odi,1975-03-09,England tour of New Zealand  - 1975 (1974/75),New Zealand,227.0,10.0,England,35.0,1.0,Basin Reserve,Wellington,New Zealand,New Zealand,,No result,0.0
65035,England Vs India 1St Match,1975-06-07,Prudential World Cup in England - 1975 (1975),England,334.0,4.0,India,132.0,3.0,Lord's,London,England,England,England,England won by 202 runs,1285.0
65036,East Africa Vs New Zealand 2Nd Match,1975-06-07,Prudential World Cup in England - 1975 (1975),New Zealand,309.0,5.0,East Africa,128.0,8.0,Edgbaston,Birmingham,England,New Zealand,New Zealand,New Zealand won by 181 runs,1328.0
65037,Australia Vs Pakistan 3Rd Match,1975-06-07,Prudential World Cup in England - 1975 (1975),Australia,278.0,7.0,Pakistan,205.0,10.0,Headingley,Leeds,England,Australia,Australia,Australia won by 73 runs,1369.0
65038,Sri Lanka Vs West Indies 4Th Match,1975-06-07,Prudential World Cup in England - 1975 (1975),Sri Lanka,86.0,10.0,West Indies,87.0,1.0,Old Trafford,Manchester,England,West Indies,West Indies,West Indies won by 9 wickets (with 236 balls remaining),1416.0
65039,England Vs New Zealand 5Th Match,1975-06-11,Prudential World Cup in England - 1975 (1975),England,266.0,6.0,New Zealand,186.0,10.0,Trent Bridge,Nottingham,England,New Zealand,England,England won by 80 runs,1316.0
65040,East Africa Vs India 6Th Match,1975-06-11,Prudential World Cup in England - 1975 (1975),East Africa,120.0,10.0,India,123.0,0.0,Headingley,Leeds,England,East Africa,India,India won by 10 wickets (with 181 balls remaining),1160.0
65041,Australia Vs Sri Lanka 7Th Match,1975-06-11,Prudential World Cup in England - 1975 (1975),Australia,328.0,5.0,Sri Lanka,276.0,4.0,Kennington Oval,London,England,Sri Lanka,Australia,Australia won by 52 runs,1447.0
65042,Pakistan Vs West Indies 8Th Match,1975-06-11,Prudential World Cup in England - 1975 (1975),Pakistan,266.0,7.0,West Indies,267.0,9.0,Edgbaston,Birmingham,England,Pakistan,West Indies,West Indies won by 1 wicket (with 2 balls remaining),1329.0
65043,England Vs East Africa 9Th Match,1975-06-14,Prudential World Cup in England - 1975 (1975),England,290.0,5.0,East Africa,94.0,10.0,Edgbaston,Birmingham,England,East Africa,England,England won by 196 runs,1270.0
65044,India Vs New Zealand 10Th Match,1975-06-14,Prudential World Cup in England - 1975 (1975),India,230.0,10.0,New Zealand,233.0,6.0,Old Trafford,Manchester,England,India,New Zealand,New Zealand won by 4 wickets (with 7 balls remaining),1328.0
65045,Australia Vs West Indies 11Th Match,1975-06-14,Prudential World Cup in England - 1975 (1975),Australia,192.0,10.0,West Indies,195.0,3.0,Kennington Oval,London,England,West Indies,West Indies,West Indies won by 7 wickets (with 84 balls remaining),1389.0
65046,Pakistan Vs Sri Lanka 12Th Match,1975-06-14,Prudential World Cup in England - 1975 (1975),Pakistan,330.0,6.0,Sri Lanka,138.0,10.0,Trent Bridge,Nottingham,England,Sri Lanka,Pakistan,Pakistan won by 192 runs,1350.0
65047,England Vs Australia 1St Sf,1975-06-18,Prudential World Cup in England - 1975 (1975),England,93.0,10.0,Australia,94.0,6.0,Headingley,Leeds,England,Australia,Australia,Australia won by 4 wickets (with 188 balls remaining),1419.0
65048,New Zealand Vs West Indies 2Nd Sf,1975-06-18,Prudential World Cup in England - 1975 (1975),New Zealand,158.0,10.0,West Indies,159.0,5.0,Kennington Oval,London,England,West Indies,West Indies,West Indies won by 5 wickets (with 119 balls remaining),1389.0
65049,Australia Vs West Indies Final,1975-06-21,Prudential World Cup in England - 1975 (1975),West Indies,291.0,8.0,Australia,274.0,10.0,Lord's,London,England,Australia,West Indies,West Indies won by 17 runs,1286.0
64155,Australia Vs West Indies Only Odi,1975-12-20,West Indies tour of Australia  - 1975 (1975/76),West Indies,224.0,10.0,Australia,225.0,5.0,Adelaide Oval,Adelaide,Australia,Australia,Australia,Australia won by 5 wickets (with 67 balls remaining),1243.0
