matches_bat,innings_batted,runs,balls,fours,sixes,bat_avg,strike_rate,matches_bowl,innings_bowled,wickets,runs_conceded,overs,player_name
225,225,9571.0,9454.0,840.0,204.0,42.53777777777778,101.2375713983499,,,,,,AB de Villiers
2,2,5.0,8.0,0.0,0.0,2.5,62.5,,,,,,AM Ghazanfar
2,2,0.0,0.0,0.0,0.0,0.0,,,,,,,Aakash Chand
2,2,0.0,0.0,0.0,0.0,0.0,,,,,,,Aamer Hameed
5,5,89.0,128.0,6.0,0.0,17.8,69.53125,,,,,,Aamer Hanif
24,24,556.0,989.0,40.0,0.0,23.166666666666668,56.21840242669363,,,,,,Aamer Malik
9,9,13.0,20.0,0.0,0.0,1.4444444444444444,65.0,,,,,,Aamer Nazir
156,156,4780.0,7297.0,467.0,20.0,30.641025641025642,65.50637248184185,,,,,,Aamer Sohail
4,4,95.0,96.0,8.0,5.0,23.75,98.95833333333334,,,,,,Aamer Yamin
3,3,18.0,24.0,2.0,0.0,6.0,75.0,,,,,,Aamir Kaleem
163,163,267.0,456.0,15.0,7.0,1.638036809815951,58.55263157894737,,,,,,Aaqib Javed
51,51,964.0,1544.0,63.0,4.0,18.901960784313726,62.43523316062176,,,,,,Aarif Sheikh
142,142,5390.0,6126.0,531.0,129.0,37.95774647887324,87.98563499836762,,,,,,Aaron Finch
4,4,31.0,46.0,3.0,0.0,7.75,67.3913043478261,,,,,,Aaron Hardie
12,12,303.0,299.0,35.0,15.0,25.25,101.33779264214047,,,,,,Aaron Johnson
43,43,1454.0,2054.0,95.0,28.0,33.81395348837209,70.78870496592016,,,,,,Aaron Jones
20,20,78.0,153.0,5.0,0.0,3.9,50.98039215686274,,,,,,Aaron Phangiso
6,6,152.0,259.0,19.0,0.0,25.333333333333332,58.68725868725869,,,,,,Aaron Redmond
17,17,43.0,63.0,2.0,1.0,2.5294117647058822,68.25396825396825,,,,,,Aashish Kapoor
33,33,228.0,375.0,22.0,4.0,6.909090909090909,60.8,,,,,,Aasif Karim
49,49,1401.0,1820.0,163.0,14.0,28.591836734693878,76.97802197802199,,,,,,Aasif Sheikh
4,4,4.0,14.0,0.0,0.0,1.0,28.57142857142857,,,,,,Aavishkar Salvi
28,28,545.0,684.0,53.0,12.0,19.464285714285715,79.67836257309942,,,,,,Aayan Afzal Khan
27,27,740.0,1045.0,73.0,6.0,27.40740740740741,70.81339712918661,,,,,,Abdool Samad
2,2,59.0,82.0,9.0,1.0,29.5,71.95121951219512,,,,,,Abdul Jabbar
104,104,641.0,849.0,36.0,17.0,6.163461538461538,75.50058892815076,,,,,,Abdul Qadir
3,3,10.0,37.0,0.0,0.0,3.3333333333333335,27.027027027027028,,,,,,Abdul Rahman
265,265,5080.0,6252.0,382.0,124.0,19.169811320754718,81.25399872040947,,,,,,Abdul Razzaq
1,1,1.0,13.0,0.0,0.0,1.0,7.6923076923076925,,,,,,Abdul Rehman
3,3,54.0,102.0,4.0,1.0,18.0,52.94117647058824,,,,,,Abdul Shakoor
2,2,3.0,16.0,0.0,0.0,1.5,18.75,,,,,,Abdullah Mazari
12,12,416.0,471.0,39.0,12.0,34.666666666666664,88.32271762208069,,,,,,Abdullah Shafique
4,4,0.0,0.0,0.0,0.0,0.0,,,,,,,Abdur Rauf
152,152,779.0,1020.0,55.0,21.0,5.125,76.37254901960785,,,,,,Abdur Razzak
31,31,142.0,263.0,11.0,1.0,4.580645161290323,53.99239543726235,,,,,,Abdur Rehman
23,23,26.0,43.0,1.0,1.0,1.1304347826086956,60.46511627906976,,,,,,Abey Kuruvilla
5,5,51.0,55.0,2.0,4.0,10.2,92.72727272727272,,,,,,Abhimanyu Mithun
2,2,0.0,7.0,0.0,0.0,0.0,0.0,,,,,,Abhishek Nayar
4,4,39.0,50.0,3.0,1.0,9.75,78.0,,,,,,Abhishek Paradkar
6,6,234.0,250.0,29.0,0.0,39.0,93.60000000000001,,,,,,Abid Ali
2,2,13.0,14.0,0.0,0.0,6.5,92.85714285714286,,,,,,Abinash Bohara
2,2,1.0,11.0,0.0,0.0,0.5,9.090909090909092,,,,,,Abu Hider
2,2,0.0,0.0,0.0,0.0,0.0,,,,,,,Abu Jayed
7,7,11.0,16.0,1.0,0.0,1.5714285714285714,68.75,,,,,,Abul Hasan
13,13,270.0,469.0,26.0,0.0,20.76923076923077,57.56929637526652,,,,,,Adam Bacher
30,30,78.0,136.0,3.0,0.0,2.6,57.35294117647059,,,,,,Adam Dale
286,286,9619.0,9922.0,1162.0,149.0,33.63286713286713,96.94618020560371,,,,,,Adam Gilchrist
35,35,606.0,807.0,46.0,4.0,17.314285714285713,75.09293680297398,,,,,,Adam Hollioake
19,19,9.0,16.0,1.0,0.0,0.47368421052631576,56.25,,,,,,Adam Huckle
48,48,180.0,205.0,11.0,4.0,3.75,87.8048780487805,,,,,,Adam Milne
176,176,3314.0,4867.0,169.0,36.0,18.829545454545453,68.09122662831312,,,,,,Adam Parore
30,30,870.0,998.0,61.0,10.0,29.0,87.17434869739479,,,,,,Adam Voges
99,99,293.0,445.0,26.0,1.0,2.95959595959596,65.84269662921348,,,,,,Adam Zampa
21,21,28.0,139.0,2.0,0.0,1.3333333333333333,20.14388489208633,,,,,,Adeel Raja
2,2,13.0,33.0,2.0,0.0,6.5,39.39393939393939,,,,,,Adeel Shafique
1,1,0.0,0.0,0.0,0.0,0.0,,,,,,,Adhitya Shetty
130,130,826.0,839.0,80.0,12.0,6.3538461538461535,98.45053635280095,,,,,,Adil Rashid
2,2,10.0,12.0,2.0,0.0,5.0,83.33333333333334,,,,,,Adithya Ashok
5,5,62.0,89.0,3.0,0.0,12.4,69.66292134831461,,,,,,Adnan Akmal
18,18,330.0,409.0,27.0,1.0,18.333333333333332,80.68459657701712,,,,,,Adnan Mufti
14,14,394.0,612.0,43.0,3.0,28.142857142857142,64.37908496732027,,,,,,Adrian Barath
9,9,99.0,177.0,5.0,1.0,11.0,55.932203389830505,,,,,,Adrian Griffith
25,25,539.0,662.0,37.0,11.0,21.56,81.41993957703929,,,,,,Adrian Kuiper
9,9,29.0,41.0,2.0,0.0,3.2222222222222223,70.73170731707317,,,,,,Adrian Neill
31,31,600.0,666.0,55.0,10.0,19.35483870967742,90.09009009009009,,,,,,Afif Hossain
16,16,264.0,488.0,15.0,0.0,16.5,54.09836065573771,,,,,,Afsar Zazai
85,85,1954.0,2353.0,205.0,49.0,22.988235294117647,83.04292392690182,,,,,,Aftab Ahmed
27,27,80.0,107.0,9.0,3.0,2.962962962962963,74.76635514018692,,,,,,Aftab Alam
1,1,3.0,28.0,0.0,0.0,3.0,10.714285714285714,,,,,,Aftab Shamsudeen
4,4,22.0,52.0,4.0,0.0,5.5,42.30769230769231,,,,,,Afzaal Haider
20,20,487.0,497.0,44.0,9.0,24.35,97.98792756539235,,,,,,Agha Salman
1,1,11.0,19.0,2.0,0.0,11.0,57.89473684210527,,,,,,Ahmed Kamal
53,53,409.0,674.0,29.0,8.0,7.716981132075472,60.682492581602375,,,,,,Ahmed Raza
1,1,2.0,10.0,0.0,0.0,2.0,20.0,,,,,,Ahmed Shah
