Match ID,Match Date,Series Name,team1 name,team1 runs_scored,team1 wickets_lost,Match Winner,Match Venue (Stadium),Match Venue (City),Match Venue (Country),team2 name, Team2 runs_scored,Team2 wickets_lost
65425,1988-01-07,"Benson & Hedges World Series Cup Australia, New Zealand, Sri Lanka in Australia - 1988 (1987/88)",Australia,216.0,10.0,Australia,Melbourne Cricket Ground,Melbourne,Australia,,,
65428,1988-01-12,"Benson & Hedges World Series Cup Australia, New Zealand, Sri Lanka in Australia - 1988 (1987/88)",New Zealand,199.0,7.0,Sri Lanka,Bellerive Oval,Hobart,Australia,,,
65431,1988-01-17,"Benson & Hedges World Series Cup Australia, New Zealand, Sri Lanka in Australia - 1988 (1987/88)",New Zealand,176.0,5.0,Australia,Brisbane Cricket Ground,Brisbane,Australia,,,
65432,1988-01-19,"Benson & Hedges World Series Cup Australia, New Zealand, Sri Lanka in Australia - 1988 (1987/88)",Sri Lanka,188.0,9.0,Australia,Sydney Cricket Ground,Sydney,Australia,,,
64326,1988-03-16,England tour of New Zealand  - 1988 (1987/88),England,219.0,10.0,New Zealand,McLean Park,Napier,New Zealand,,,
65844,1988-10-21,"Champions Trophy India, Pakistan, West Indies in United Arab Emirates - 1988 (1988/89)",India,169.0,7.0,West Indies,Sharjah Cricket Association Stadium,Sharjah,United Arab Emirates,,,
65676,1988-10-29,"Wills Asia Cup Bangladesh, India, Pakistan, Sri Lanka in Bangladesh - 1988 (1988/89)",Sri Lanka,271.0,6.0,Sri Lanka,National Stadium,Dhaka,Bangladesh,,,
64333,1988-12-12,New Zealand tour of India  - 1988 (1988/89),New Zealand,160.0,7.0,India,Barabati Stadium,Cuttack,India,,,
65439,1988-12-15,"Benson & Hedges World Series Australia, Pakistan, West Indies in Australia - 1988 (1988/89)",West Indies,236.0,10.0,West Indies,Melbourne Cricket Ground,Melbourne,Australia,,,
65440,1988-12-17,"Benson & Hedges World Series Australia, Pakistan, West Indies in Australia - 1988 (1988/89)",West Indies,244.0,4.0,West Indies,Bellerive Oval,Hobart,Australia,,,
64148,1971-01-05,England [Marylebone Cricket Club] tour of Australia  - 1970 (1970/71),England,190.0,10.0,Australia,Melbourne Cricket Ground,Melbourne,Australia,,,
64944,1972-08-24,Australia tour of England and Scotland  - 1972 (1972),Australia,222.0,8.0,England,Old Trafford,Manchester,England,,,
64945,1972-08-26,Australia tour of England and Scotland  - 1972 (1972),England,236.0,9.0,Australia,Lord's,London,England,,,
64946,1972-08-28,Australia tour of England and Scotland  - 1972 (1972),Australia,179.0,9.0,England,Edgbaston,Birmingham,England,,,
64149,1973-02-11,Pakistan tour of New Zealand  - 1973 (1972/73),New Zealand,187.0,10.0,New Zealand,Lancaster Park,Christchurch,New Zealand,,,
64947,1973-07-18,New Zealand tour of England  - 1973 (1973),New Zealand,158.0,10.0,England,St Helen's,Swansea,England,,,
64948,1973-07-20,New Zealand tour of England  - 1973 (1973),England,167.0,8.0,,Old Trafford,Manchester,England,,,
64949,1973-09-05,West Indies tour of England  - 1973 (1973),West Indies,181.0,10.0,England,Headingley,Leeds,England,,,
64950,1973-09-07,West Indies tour of England  - 1973 (1973),England,189.0,9.0,West Indies,Kennington Oval,London,England,,,
64150,1974-03-30,Australia tour of New Zealand  - 1974 (1973/74),New Zealand,194.0,9.0,Australia,Carisbrook,Dunedin,New Zealand,,,
64151,1974-03-31,Australia tour of New Zealand  - 1974 (1973/74),Australia,265.0,5.0,Australia,Lancaster Park,Christchurch,New Zealand,,,
64951,1974-07-13,India tour of England  - 1974 (1974),India,265.0,10.0,England,Headingley,Leeds,England,,,
64952,1974-07-15,India tour of England  - 1974 (1974),India,171.0,10.0,England,Kennington Oval,London,England,,,
64953,1974-08-31,Pakistan tour of England  - 1974 (1974),England,244.0,4.0,Pakistan,Trent Bridge,Nottingham,England,,,
64954,1974-09-03,Pakistan tour of England  - 1974 (1974),England,81.0,9.0,Pakistan,Edgbaston,Birmingham,England,,,
64152,1975-01-01,England tour of Australia  - 1974 (1974/75),Australia,190.0,10.0,England,Melbourne Cricket Ground,Melbourne,Australia,,,
64153,1975-03-08,England tour of New Zealand  - 1975 (1974/75),England,136.0,10.0,,Carisbrook,Dunedin,New Zealand,,,
64154,1975-03-09,England tour of New Zealand  - 1975 (1974/75),New Zealand,227.0,10.0,,Basin Reserve,Wellington,New Zealand,,,
65035,1975-06-07,Prudential World Cup in England - 1975 (1975),England,334.0,4.0,England,Lord's,London,England,,,
65036,1975-06-07,Prudential World Cup in England - 1975 (1975),New Zealand,309.0,5.0,New Zealand,Edgbaston,Birmingham,England,,,
65037,1975-06-07,Prudential World Cup in England - 1975 (1975),Australia,278.0,7.0,Australia,Headingley,Leeds,England,,,
65038,1975-06-07,Prudential World Cup in England - 1975 (1975),Sri Lanka,86.0,10.0,West Indies,Old Trafford,Manchester,England,,,
65039,1975-06-11,Prudential World Cup in England - 1975 (1975),England,266.0,6.0,England,Trent Bridge,Nottingham,England,,,
65040,1975-06-11,Prudential World Cup in England - 1975 (1975),East Africa,120.0,10.0,India,Headingley,Leeds,England,,,
