player_id,player_object_id,player_name,dob,gender,batting_style,bowling_style,country_id
93957,1046619,Avinash Pai,1982-01-24,M,right-hand bat,right-arm offbreak,18.0
2182,51462,Sherwin Campbell,1970-11-01,M,right-hand bat,right-arm medium,4.0
48391,56194,Tamim Iqbal,1989-03-20,M,left-hand bat,None,25.0
2198,55935,Javed Omar,1976-11-25,M,right-hand bat,legbreak,25.0
52290,298438,Jason Roy,1990-07-21,M,right-hand bat,None,1.0
87157,938959,Wessly Madhevere,2000-09-04,M,right-hand bat,right-arm offbreak,9.0
48927,226492,Martin Guptill,1986-09-30,M,right-hand bat,right-arm offbreak,5.0
51444,290462,Solomon Mire,1989-08-21,M,right-hand bat,right-arm medium-fast,9.0
1550,38757,John Wright,1954-07-05,M,left-hand bat,right-arm medium,5.0
10381,37265,Jamie How,1981-05-19,M,right-hand bat,right-arm medium,5.0
109868,1274033,Louis Bruce,2005-06-25,M,right-hand bat,right-arm medium,18.0
2122,53234,Stuart Williams,1969-08-12,M,right-hand bat,right-arm medium,4.0
66691,536936,Litton Das,1994-10-13,M,right-hand bat,right-arm offbreak,25.0
47721,56153,Shahriar Nafees,1985-05-01,M,left-hand bat,None,25.0
52161,297433,Jonny Bairstow,1989-09-26,M,right-hand bat,right-arm medium,1.0
62733,465327,Innocent Kaia,1992-08-10,M,right-hand bat,legbreak,9.0
89097,959759,Finn Allen,1999-04-22,M,right-hand bat,None,5.0
109871,1274036,Joseph Marples,1991-07-30,M,right-hand bat,None,18.0
106213,1197880,Zeko Burgess,1994-08-14,M,right-hand bat,right-arm medium,12.0
2146,25544,Johanne Samarasekera,1968-02-22,M,right-hand bat,right-arm medium-fast,27.0
49282,235532,Cephas Zhuwao,1984-12-15,M,left-hand bat,slow left-arm orthodox,9.0
1503,36180,Robert Anderson,1948-10-02,M,right-hand bat,legbreak,5.0
10384,37737,Brendon McCullum,1981-09-27,M,right-hand bat,right-arm medium,5.0
2120,51469,Shivnarine Chanderpaul,1974-08-16,M,left-hand bat,legbreak,4.0
59806,403317,Iain Latin,1984-06-14,M,right-hand bat,legbreak,18.0
52656,303669,Joe Root,1990-12-30,M,right-hand bat,right-arm offbreak,1.0
2204,55906,Habibul Bashar,1972-08-17,M,right-hand bat,right-arm offbreak,25.0
47352,56025,Mahmudullah,1986-02-04,M,right-hand bat,right-arm offbreak,25.0
47205,55412,Craig Ervine,1985-08-19,M,left-hand bat,right-arm offbreak,9.0
80639,823509,Glenn Phillips,1996-12-06,M,right-hand bat,right-arm offbreak,5.0
10423,55608,Hamilton Masakadza,1983-08-09,M,right-hand bat,right-arm medium,9.0
1444,37254,Geoff Howarth,1951-03-29,M,right-hand bat,right-arm offbreak,5.0
35647,37091,Peter Fulton,1979-02-01,M,right-hand bat,right-arm medium,5.0
1982,52337,Brian Lara,1969-05-02,M,left-hand bat,legbreak googly,4.0
65881,524219,Kayron J Stagno,1993-09-07,M,right-hand bat,right-arm offbreak,18.0
47055,24598,Eoin Morgan,1986-09-10,M,left-hand bat,right-arm medium,1.0
10340,56074,Rajin Saleh,1983-11-20,M,right-hand bat,right-arm offbreak,25.0
114180,1347289,Armando Chuvale,2006-01-27,M,right-hand bat,right-arm medium-fast,171.0
109779,1273407,Amoluk Singh,1975-06-23,M,right-hand bat,right-arm offbreak,135.0
105,18007,Billy Newham,1860-12-12,M,right-hand bat,None,1.0
47986,56029,Mushfiqur Rahim,1987-05-09,M,right-hand bat,None,25.0
51554,293831,Regis Chakabva,1987-09-20,M,right-hand bat,right-arm offbreak,9.0
58772,381743,Daryl Mitchell,1991-05-20,M,right-hand bat,right-arm medium,5.0
45253,55814,Brendan Taylor,1986-02-06,M,right-hand bat,right-arm offbreak,9.0
1566,36951,Bruce Edgar,1956-11-23,M,left-hand bat,right-arm bowler,5.0
9570,38407,Scott Styris,1975-07-10,M,right-hand bat,right-arm medium,5.0
1873,52066,Carl Hooper,1966-12-15,M,right-hand bat,right-arm offbreak,4.0
103389,1156724,James Fitzgerald,1999-04-10,M,right-hand bat,right-arm medium-fast,18.0
53320,311158,Ben Stokes,1991-06-04,M,left-hand bat,right-arm fast-medium,1.0
24667,55988,Mohammad Ashraful,1984-07-07,M,right-hand bat,right-arm offbreak,25.0
48277,56143,Shakib Al Hasan,1987-03-24,M,left-hand bat,slow left-arm orthodox,25.0
2232,45789,Jacques Kallis,1975-10-16,M,right-hand bat,right-arm fast-medium,3.0
44930,38699,Ross Taylor,1984-03-08,M,right-hand bat,right-arm offbreak,5.0
2131,52059,Roland Holder,1967-12-22,M,right-hand bat,right-arm medium,4.0
55830,338535,Jonathan West,1981-05-16,M,right-hand bat,right-arm medium,18.0
53271,308967,Jos Buttler,1990-09-08,M,right-hand bat,None,1.0
45558,56266,Aftab Ahmed,1985-11-10,M,right-hand bat,right-arm medium,25.0
58220,373538,Sabbir Rahman,1991-11-22,M,right-hand bat,legbreak,25.0
96949,1089929,Ayo Mene-Ejegi,1990-12-07,M,right-hand bat,right-arm medium,5615.0
2159,22403,Craig White,1969-12-16,M,right-hand bat,right-arm fast-medium,1.0
1987,49125,Chandika Hathurusinghe,1968-09-13,M,right-hand bat,right-arm medium-fast,8.0
9989,38062,Jacob Oram,1978-07-28,M,left-hand bat,right-arm fast-medium,5.0
2070,52442,Junior Murray,1968-01-20,M,right-hand bat,None,4.0
106746,1204627,Kenroy Nestor,1988-09-08,M,right-hand bat,right-arm fast,18.0
46597,8917,Moeen Ali,1987-06-18,M,left-hand bat,right-arm offbreak,1.0
2201,55954,Khaled Mashud,1976-02-08,M,right-hand bat,None,25.0
52363,300618,Nasir Hossain,1991-11-30,M,right-hand bat,right-arm offbreak,25.0
67178,547749,Will Young,1992-11-22,M,right-hand bat,right-arm offbreak,5.0
47234,55346,Graeme Cremer,1986-09-19,M,right-hand bat,legbreak googly,9.0
64447,495964,Ryan Burl,1994-04-15,M,left-hand bat,legbreak,9.0
1521,36952,Jock Edwards,1955-05-27,M,right-hand bat,None,5.0
7410,38393,Mathew Sinclair,1975-11-09,M,right-hand bat,right-arm medium,5.0
66876,541224,Luke Jongwe,1995-02-06,M,right-hand bat,right-arm fast-medium,9.0
24672,56007,Mashrafe Mortaza,1983-10-05,M,right-hand bat,right-arm fast-medium,25.0
49108,232364,Tim Southee,1988-12-11,M,right-hand bat,right-arm medium-fast,5.0
48205,55872,Malcolm Waller,1984-09-28,M,right-hand bat,right-arm offbreak,9.0
2200,55973,Mohammad Rafique,1970-09-05,M,left-hand bat,slow left-arm orthodox,25.0
1407,37224,Richard Hadlee,1951-07-03,M,left-hand bat,right-arm fast,5.0
49496,247235,Chris Woakes,1989-03-02,M,right-hand bat,right-arm fast-medium,1.0
65832,523245,Andrew Reyes,1984-03-07,M,right-hand bat,right-arm medium,18.0
1884,51107,Curtly Ambrose,1963-09-21,M,left-hand bat,right-arm fast,4.0
10303,37740,Kyle Mills,1979-03-15,M,right-hand bat,right-arm fast-medium,5.0
7656,28090,Sameer Dighe,1968-10-08,M,right-hand bat,None,6.0
65214,514770,Prakash Mishra,1979-01-09,M,right-hand bat,right-arm medium,114.0
53602,318334,Nawroz Mangal,1984-07-15,M,right-hand bat,right-arm offbreak,40.0
44691,10582,Ravi Bopara,1985-05-04,M,right-hand bat,right-arm medium,1.0
7716,36084,Yuvraj Singh,1981-12-12,M,left-hand bat,slow left-arm orthodox,6.0
10238,52983,Marlon Samuels,1981-02-05,M,right-hand bat,right-arm offbreak,4.0
10394,43654,Yasir Arafat,1982-03-12,M,right-hand bat,right-arm fast-medium,7.0
48641,213674,Todd Astle,1986-09-24,M,right-hand bat,legbreak,5.0
49266,235514,Brian Vitori,1990-02-22,M,left-hand bat,left-arm fast-medium,9.0
60782,425639,Tendai Chatara,1991-02-28,M,right-hand bat,right-arm fast-medium,9.0
1565,36304,Brendon Bracewell,1959-09-14,M,right-hand bat,right-arm medium,5.0
65060,511532,Al-Amin Hossain,1992-12-27,M,right-hand bat,right-arm medium-fast,25.0
72379,669855,Jofra Archer,1995-04-01,M,right-hand bat,right-arm fast,1.0
91025,989797,Jack Horrocks,1993-05-26,M,right-hand bat,left-arm medium,18.0
1765,53216,Courtney Walsh,1962-10-30,M,right-hand bat,right-arm fast,4.0
45159,56283,Abdur Razzak,1982-06-15,M,left-hand bat,slow left-arm orthodox,25.0
15357,37111,Mark Gillespie,1979-10-17,M,right-hand bat,right-arm fast-medium,5.0
1840,32179,Chandrakant Pandit,1961-09-30,M,right-hand bat,None,6.0
68493,585463,Godfred Bakiweyem,1998-12-20,M,right-hand bat,right-arm medium,135.0
1993,15383,Richard Illingworth,1963-08-23,M,right-hand bat,slow left-arm orthodox,1.0
109956,1275727,Omar Rassol,1997-09-12,M,right-hand bat,right-arm offbreak,114.0
53809,320652,Asghar Afghan,1987-12-26,M,right-hand bat,right-arm medium-fast,40.0
63224,471342,Krunal Pandya,1991-03-24,M,left-hand bat,slow left-arm orthodox,6.0
48405,34102,Rohit Sharma,1987-04-30,M,right-hand bat,right-arm offbreak,6.0
47111,52917,Denesh Ramdin,1985-03-13,M,right-hand bat,None,4.0
45257,51439,Dwayne Bravo,1983-10-07,M,right-hand bat,right-arm medium,4.0
57410,360456,Asela Gunaratne,1986-01-08,M,right-hand bat,right-arm medium-fast,8.0
216,14220,George Hirst,1871-09-07,M,right-hand bat,left-arm medium-fast,1.0
95708,1071473,Jan Nicol Loftie-Eaton,2001-03-15,M,left-hand bat,right-arm medium,28.0
109548,1267515,Vukasin Zimonjic,2005-02-25,M,right-hand bat,right-arm medium-fast,5615.0
9630,47015,Jacques Rudolph,1981-05-04,M,left-hand bat,legbreak googly,3.0
109955,1275726,Mukul Kadyan,1994-01-01,M,right-hand bat,right-arm medium-fast,114.0
1446,13399,Graham Gooch,1953-07-23,M,right-hand bat,right-arm medium,1.0
1973,30176,Anil Kumble,1970-10-17,M,right-hand bat,legbreak googly,6.0
2334,10881,Robert Croft,1970-05-25,M,right-hand bat,right-arm offbreak,1.0
1551,19316,Clive Radley,1944-05-13,M,right-hand bat,legbreak,1.0
80259,819441,Darwish Rasooli,1999-12-12,M,right-hand bat,right-arm offbreak,40.0
65860,524048,Nasir Jamal,1993-12-21,M,right-hand bat,right-arm offbreak,40.0
1934,35320,Sachin Tendulkar,1973-04-24,M,right-hand bat,right-arm offbreak,6.0
70872,629058,Najmul Hossain Shanto,1998-08-25,M,left-hand bat,right-arm offbreak,25.0
105011,1178906,Niraj Khanna,1982-07-28,M,right-hand bat,right-arm offbreak,45.0
2230,7133,Ricky Ponting,1974-12-19,M,right-hand bat,right-arm medium,2.0
