matches_bat,innings_batted,runs,balls,fours,sixes,bat_avg,strike_rate,player_name
225,225,9571,9454,840,204,42.53777778,101.2375713983499,AB de Villiers
2,2,5,8,0,0,2.5,62.5,AM Ghazanfar
2,2,0,0,0,0,0.0,0.0,Aakash Chand
2,2,0,0,0,0,0.0,0.0,Aamer Hameed
5,5,89,128,6,0,17.8,69.53125,Aamer Hanif
24,24,556,989,40,0,23.16666667,56.21840242669363,Aamer Malik
9,9,13,20,0,0,1.444444444,65.0,Aamer Nazir
156,156,4780,7297,467,20,30.64102564,65.50637248184185,Aamer Sohail
4,4,95,96,8,5,23.75,98.95833333333334,Aamer Yamin
3,3,18,24,2,0,6.0,75.0,Aamir Kaleem
163,163,267,456,15,7,1.63803681,58.55263157894737,Aaqib Javed
51,51,964,1544,63,4,18.90196078,62.43523316062176,Aarif Sheikh
142,142,5390,6126,531,129,37.95774648,87.98563499836762,Aaron Finch
4,4,31,46,3,0,7.75,67.3913043478261,Aaron Hardie
12,12,303,299,35,15,25.25,101.33779264214047,Aaron Johnson
43,43,1454,2054,95,28,33.81395349,70.78870496592016,Aaron Jones
20,20,78,153,5,0,3.9,50.98039215686274,Aaron Phangiso
6,6,152,259,19,0,25.33333333,58.68725868725869,Aaron Redmond
17,17,43,63,2,1,2.529411765,68.25396825396825,Aashish Kapoor
33,33,228,375,22,4,6.909090909,60.8,Aasif Karim
49,49,1401,1820,163,14,28.59183673,76.97802197802199,Aasif Sheikh
4,4,4,14,0,0,1.0,28.57142857142857,Aavishkar Salvi
28,28,545,684,53,12,19.46428571,79.67836257309942,Aayan Afzal Khan
27,27,740,1045,73,6,27.40740741,70.81339712918661,Abdool Samad
2,2,59,82,9,1,29.5,71.95121951219512,Abdul Jabbar
104,104,641,849,36,17,6.163461538,75.50058892815076,Abdul Qadir
3,3,10,37,0,0,3.333333333,27.027027027027028,Abdul Rahman
265,265,5080,6252,382,124,19.16981132,81.25399872040947,Abdul Razzaq
1,1,1,13,0,0,1.0,7.6923076923076925,Abdul Rehman
3,3,54,102,4,1,18.0,52.94117647058824,Abdul Shakoor
2,2,3,16,0,0,1.5,18.75,Abdullah Mazari
12,12,416,471,39,12,34.66666667,88.32271762208069,Abdullah Shafique
4,4,0,0,0,0,0.0,0.0,Abdur Rauf
152,152,779,1020,55,21,5.125,76.37254901960785,Abdur Razzak
31,31,142,263,11,1,4.580645161,53.99239543726235,Abdur Rehman
23,23,26,43,1,1,1.130434783,60.46511627906976,Abey Kuruvilla
5,5,51,55,2,4,10.2,92.72727272727272,Abhimanyu Mithun
2,2,0,7,0,0,0.0,0.0,Abhishek Nayar
4,4,39,50,3,1,9.75,78.0,Abhishek Paradkar
6,6,234,250,29,0,39.0,93.60000000000001,Abid Ali
2,2,13,14,0,0,6.5,92.85714285714286,Abinash Bohara
2,2,1,11,0,0,0.5,9.090909090909092,Abu Hider
2,2,0,0,0,0,0.0,0.0,Abu Jayed
7,7,11,16,1,0,1.571428571,68.75,Abul Hasan
13,13,270,469,26,0,20.76923077,57.56929637526652,Adam Bacher
30,30,78,136,3,0,2.6,57.35294117647059,Adam Dale
286,286,9619,9922,1162,149,33.63286713,96.94618020560371,Adam Gilchrist
35,35,606,807,46,4,17.31428571,75.09293680297398,Adam Hollioake
19,19,9,16,1,0,0.473684211,56.25,Adam Huckle
48,48,180,205,11,4,3.75,87.8048780487805,Adam Milne
176,176,3314,4867,169,36,18.82954545,68.09122662831312,Adam Parore
30,30,870,998,61,10,29.0,87.17434869739479,Adam Voges
99,99,293,445,26,1,2.95959596,65.84269662921348,Adam Zampa
21,21,28,139,2,0,1.333333333,20.14388489208633,Adeel Raja
2,2,13,33,2,0,6.5,39.39393939393939,Adeel Shafique
1,1,0,0,0,0,0.0,0.0,Adhitya Shetty
130,130,826,839,80,12,6.353846154,98.45053635280095,Adil Rashid
2,2,10,12,2,0,5.0,83.33333333333334,Adithya Ashok
5,5,62,89,3,0,12.4,69.66292134831461,Adnan Akmal
18,18,330,409,27,1,18.33333333,80.68459657701712,Adnan Mufti
14,14,394,612,43,3,28.14285714,64.37908496732027,Adrian Barath
9,9,99,177,5,1,11.0,55.932203389830505,Adrian Griffith
25,25,539,662,37,11,21.56,81.41993957703929,Adrian Kuiper
9,9,29,41,2,0,3.222222222,70.73170731707317,Adrian Neill
31,31,600,666,55,10,19.35483871,90.09009009009009,Afif Hossain
16,16,264,488,15,0,16.5,54.09836065573771,Afsar Zazai
85,85,1954,2353,205,49,22.98823529,83.04292392690182,Aftab Ahmed
27,27,80,107,9,3,2.962962963,74.76635514018692,Aftab Alam
1,1,3,28,0,0,3.0,10.714285714285714,Aftab Shamsudeen
4,4,22,52,4,0,5.5,42.30769230769231,Afzaal Haider
20,20,487,497,44,9,24.35,97.98792756539235,Agha Salman
1,1,11,19,2,0,11.0,57.89473684210527,Ahmed Kamal
53,53,409,674,29,8,7.716981132,60.682492581602375,Ahmed Raza
1,1,2,10,0,0,2.0,20.0,Ahmed Shah
81,81,2605,3614,269,18,32.16049383,72.0807969009408,Ahmed Shehzad
12,12,14,27,1,0,1.166666667,51.85185185185185,Ahsan Malik
67,67,2121,2158,217,50,31.65671642,98.28544949026877,Aiden Markram
2,2,5,11,1,0,2.5,45.45454545454545,Aijaz Ali
2,2,0,0,0,0,0.0,0.0,Ainsley Ndlovu
14,14,26,45,2,0,1.857142857,57.77777777777777,Aizaz Cheema
19,19,260,374,16,8,13.68421053,69.5187165775401,Aizaz Khan
86,86,188,263,16,2,2.186046512,71.48288973384031,Ajantha Mendis
192,192,5359,7678,366,85,27.91145833,69.7968220890857,Ajay Jadeja
2,2,18,47,1,0,9.0,38.297872340425535,Ajay Lalcheta
12,12,90,127,8,0,7.5,70.86614173228347,Ajay Ratra
31,31,424,469,26,9,13.67741935,90.40511727078892,Ajay Sharma
90,90,2962,3767,293,33,32.91111111,78.63020971595434,Ajinkya Rahane
189,189,1269,1574,103,22,6.714285714,80.62261753494282,Ajit Agarkar
2,2,73,90,11,0,36.5,81.11111111111111,Ajit Wadekar
6,6,9,33,0,0,1.5,27.27272727272727,Ajit de Silva
1,1,2,4,0,0,2.0,50.0,Ajith Weerakkody
11,11,39,60,0,3,3.545454545,65.0,Ajmal Shahzad
4,4,7,9,1,0,1.75,77.77777777777779,Akalanka Ganegama
38,38,266,364,14,10,7.0,73.07692307692307,Akeal Hosein
2,2,3,6,0,0,1.5,50.0,Akeem Jordan
4,4,66,99,4,1,16.5,66.66666666666666,Akhtar Sarfraz
5,5,0,0,0,0,0.0,0.0,Akif Raja
39,39,291,417,25,3,7.461538462,69.7841726618705,Akila Dananjaya
44,44,976,1721,73,2,22.18181818,56.71121441022661,Akram Khan
49,49,193,310,8,2,3.93877551,62.25806451612903,Akram Raza
8,8,159,223,9,4,19.875,71.30044843049326,Akshay Homraj
29,29,374,709,45,1,12.89655172,52.750352609308884,Al Sahariar
14,14,4,20,0,0,0.285714286,20.0,Al-Amin Hossain
1,1,14,26,1,0,14.0,53.84615384615385,Alan Butcher
1,1,0,0,0,0,0.0,0.0,Alan Connolly
18,18,69,67,9,1,3.833333333,102.98507462686568,Alan Dawson
8,8,7,19,0,0,0.875,36.84210526315789,Alan Hurst
4,4,20,31,2,0,5.0,64.51612903225806,Alan Igglesden
20,20,200,247,17,1,10.0,80.97165991902834,Alan Knott
50,50,86,238,10,1,1.72,36.134453781512605,Alan Mullally
1,1,0,0,0,0,0.0,0.0,Alan Thomson
6,6,247,309,25,1,41.16666667,79.93527508090615,Alan Turner
1,1,15,10,2,0,15.0,150.0,Alan Wells
40,40,100,157,9,1,2.5,63.69426751592356,Alasdair Evans
92,92,3204,4154,363,10,34.82608696,77.130476649013,Alastair Cook
9,9,15,25,0,1,1.666666667,60.0,Albert van der Merwe
57,57,782,780,71,25,13.71929825,100.25641025641025,Albie Morkel
5,5,83,154,7,0,16.6,53.896103896103895,Alec Davies
169,169,4677,6841,469,26,27.67455621,68.36719777810262,Alec Stewart
26,26,126,134,9,4,4.846153846,94.02985074626866,Alei Nao
11,11,124,218,10,2,11.27272727,56.88073394495413,Alester Maregwede
72,72,1814,2052,167,18,25.19444444,88.40155945419103,Alex Carey
59,59,745,1159,57,6,12.62711864,64.27955133735979,Alex Cusack
68,68,2419,2527,276,50,35.57352941,95.72615749901068,Alex Hales
1,1,0,0,0,0,0.0,0.0,Alex Loudon
47,47,1306,1764,127,39,27.78723404,74.03628117913831,Alex Obanda
5,5,35,32,2,1,7.0,109.375,Alex Tait
3,3,9,11,0,0,3.0,81.81818181818183,Alex Tudor
13,13,19,28,0,1,1.461538462,67.85714285714286,Alex Wharf
2,2,24,84,1,0,12.0,28.57142857142857,Alexander French
38,38,924,1263,95,10,24.31578947,73.15914489311164,Alexei Kervezee
6,6,17,32,2,0,2.833333333,53.125,Alfred Luseno
2,2,21,47,3,0,10.5,44.680851063829785,Ali Asad
16,16,354,427,40,3,22.125,82.90398126463701,Ali Brown
15,15,20,31,1,0,1.333333333,64.51612903225806,Ali Khan
9,9,204,201,17,8,22.66666667,101.49253731343283,Ali Naseer
28,28,437,860,27,2,15.60714286,50.813953488372086,Ali Shah
10,10,288,337,36,6,28.8,85.45994065281899,Alick Athanaze
16,16,196,306,18,2,12.25,64.05228758169935,Alishan Sharafu
187,187,5185,7834,427,44,27.72727273,66.18585652284912,Alistair Campbell
269,269,6524,9134,500,43,24.2527881,71.4254433982921,Allan Border
164,164,95,279,2,0,0.579268293,34.05017921146953,Allan Donald
121,121,4010,5308,328,30,33.14049587,75.54634513941221,Allan Lamb
68,68,1235,1817,101,10,18.16176471,67.96917996697853,Alok Kapali
18,18,278,512,21,1,15.44444444,54.296875,Alpesh Vadher
1,1,23,33,4,0,23.0,69.6969696969697,Alvin Greenidge
31,31,826,1329,67,3,26.64516129,62.151993980436416,Alvin Kallicharran
21,21,504,610,54,3,24.0,82.62295081967214,Alviro Petersen
66,66,425,579,30,19,6.439393939,73.40241796200345,Alzarri Joseph
20,20,441,838,32,0,22.05,52.62529832935561,Amal Silva
1,1,0,2,0,0,0.0,0.0,Aman Ali
12,12,149,188,14,2,12.41666667,79.25531914893617,Amay Khurasiya
55,55,1694,2143,145,30,30.8,79.04806346243583,Ambati Rayudu
9,9,10,45,0,0,1.111111111,22.22222222222222,Amila Aponso
39,40,795,1404,57,2,19.875,56.623931623931625,Aminul Islam
31,31,23,94,0,1,0.741935484,24.46808510638298,Amir Hamza
9,9,31,73,1,1,3.444444444,42.465753424657535,Amir Hayat
2,2,0,0,0,0,0.0,0.0,Amit Bhandari
35,35,43,82,4,0,1.228571429,52.4390243902439,Amit Mishra
17,17,520,680,71,2,30.58823529,76.47058823529412,Amjad Ali
15,15,239,267,27,9,15.93333333,89.51310861423221,Amjad Javed
4,4,0,0,0,0,0.0,0.0,Ammar Khalid
47,47,1352,1808,136,27,28.76595745,74.77876106194691,Anamul Haque
76,76,486,586,33,5,6.394736842,82.93515358361775,Anderson Cummins
5,5,22,25,0,1,4.4,88.0,Anderson Phillip
77,77,853,973,73,36,11.07792208,87.66700924974306,Andile Phehlukwayo
40,40,416,409,31,18,10.4,101.7114914425428,Andre Adams
42,42,666,970,69,5,15.85714286,68.65979381443299,Andre Botha
25,25,354,549,42,7,14.16,64.48087431693989,Andre Fletcher
2,2,15,41,1,0,7.5,36.58536585365854,Andre McCarthy
76,76,123,165,13,3,1.618421053,74.54545454545455,Andre Nel
56,56,1034,794,94,57,18.46428571,130.22670025188916,Andre Russell
1,1,0,0,0,0,0.0,0.0,Andrew Britton
14,14,154,184,10,2,11.0,83.69565217391305,Andrew Ellis
139,139,3394,3821,308,93,24.41726619,88.824914943732,Andrew Flintoff
86,86,905,1206,90,10,10.52325581,75.04145936981757,Andrew Hall
8,8,226,476,15,0,28.25,47.47899159663865,Andrew Hilditch
89,89,2559,3960,278,15,28.75280899,64.62121212121212,Andrew Hudson
87,87,2784,4811,199,8,32.0,57.867387237580544,Andrew Jones
1,1,0,0,0,0,0.0,0.0,Andrew Mathieson
5,5,23,33,0,0,4.6,69.6969696969697,Andrew Penn
19,19,255,412,17,7,13.42105263,61.89320388349514,Andrew Poynter
126,126,4205,5195,454,25,33.37301587,80.9432146294514,Andrew Strauss
197,197,5088,5504,449,103,25.82741117,92.44186046511628,Andrew Symonds
7,7,57,48,5,2,8.142857143,118.75,Andrew Tye
1,1,8,23,0,0,8.0,34.78260869565217,Andrew Umeed
61,61,776,1235,60,1,12.72131148,62.83400809716599,Andrew White
2,2,10,14,1,0,5.0,71.42857142857143,Andrew Zesers
10,10,205,304,26,0,20.5,67.43421052631578,Andri Berenger
102,102,3008,4021,288,36,29.49019608,74.80726187515543,Andy Balbirnie
67,67,471,600,33,10,7.029850746,78.5,Andy Bichel
51,51,626,589,62,13,12.2745098,106.28183361629881,Andy Blignaut
54,54,249,395,19,3,4.611111111,63.037974683544306,Andy Caddick
211,211,6786,9097,532,26,32.16113744,74.59602066615368,Andy Flower
3,3,101,228,3,0,33.66666667,44.29824561403509,Andy Lloyd
84,84,826,1188,78,13,9.833333333,69.52861952861953,Andy McBrine
19,19,12,47,0,0,0.631578947,25.53191489361702,Andy McKay
20,20,295,560,13,1,14.75,52.67857142857143,Andy Pycroft
57,57,247,381,12,3,4.333333333,64.82939632545933,Andy Roberts
38,38,818,1172,85,11,21.52631579,69.7952218430034,Andy Waller
63,63,168,310,8,2,2.666666667,54.19354838709678,Andy Whittall
222,222,5916,7136,468,90,26.64864865,82.9035874439462,Angelo Mathews
6,6,52,83,3,0,8.666666667,62.65060240963856,Angelo Perera
41,41,141,208,15,2,3.43902439,67.78846153846155,Angus Fraser
15,15,87,136,7,0,5.8,63.970588235294116,Anil Dalpat
268,268,938,1536,57,6,3.5,61.067708333333336,Anil Kumble
10,10,266,257,32,10,26.6,103.50194552529184,Anil Sah
2,2,2,11,0,0,1.0,18.181818181818183,Anisur Rahman
4,4,36,69,1,0,9.0,52.17391304347826,Ankur Vasishta
22,22,40,59,3,0,1.818181818,67.79661016949152,Anrich Nortje
1,1,10,18,1,0,10.0,55.55555555555556,Ansh Tandon
15,15,269,509,15,0,17.93333333,52.848722986247544,Anshuman Gaekwad
18,18,828,1080,71,9,46.0,76.66666666666667,Anshy Rath
1,1,7,15,0,0,7.0,46.666666666666664,Anthony Hawkins-Kay
22,22,20,78,1,0,0.909090909,25.64102564102564,Anthony Ireland
9,9,10,29,0,0,1.111111111,34.48275862068966,Anthony Martin
14,14,166,353,11,0,11.85714286,47.02549575070821,Anthony McGrath
3,3,1,7,0,0,0.333333333,14.285714285714285,Anthony Stuart
12,12,195,253,25,0,16.25,77.07509881422925,Anton Devcich
9,9,153,147,8,3,17.0,104.08163265306123,Anura Ranasinghe
4,4,137,207,16,0,34.25,66.18357487922705,Anura Tennekoon
22,22,321,367,29,7,14.59090909,87.46594005449592,Anwar Ali
1,1,42,107,6,0,42.0,39.25233644859813,Anwar Hossain
1,1,0,8,0,0,0.0,0.0,Anwar Hossain Monir
24,24,1004,1255,97,10,41.83333333,80.0,Aqib Ilyas
16,16,48,92,5,0,3.0,52.17391304347826,Arafat Sunny
304,304,9284,11443,712,102,30.53947368,81.13257013021061,Aravinda de Silva
1,1,0,0,0,0,0.0,0.0,Ariful Haque
