player_id,player_object_id,player_name,dob,gender,batting_style,bowling_style,country_id
93957,1046619,Avinash Pai,1982-01-24,M,right-hand bat,right-arm offbreak,18
2182,51462,Sherwin Campbell,1970-11-01,M,right-hand bat,right-arm medium,4
48391,56194,Tamim Iqbal,1989-03-20,M,left-hand bat,Unknown,25
2198,55935,Javed Omar,1976-11-25,M,right-hand bat,legbreak,25
52290,298438,Jason Roy,1990-07-21,M,right-hand bat,Unknown,1
87157,938959,Wessly Madhevere,2000-09-04,M,right-hand bat,right-arm offbreak,9
48927,226492,Martin Guptill,1986-09-30,M,right-hand bat,right-arm offbreak,5
51444,290462,Solomon Mire,1989-08-21,M,right-hand bat,right-arm medium-fast,9
1550,38757,John Wright,1954-07-05,M,left-hand bat,right-arm medium,5
10381,37265,Jamie How,1981-05-19,M,right-hand bat,right-arm medium,5
109868,1274033,Louis Bruce,2005-06-25,M,right-hand bat,right-arm medium,18
2122,53234,Stuart Williams,1969-08-12,M,right-hand bat,right-arm medium,4
66691,536936,Litton Das,1994-10-13,M,right-hand bat,right-arm offbreak,25
47721,56153,Shahriar Nafees,1985-05-01,M,left-hand bat,Unknown,25
52161,297433,Jonny Bairstow,1989-09-26,M,right-hand bat,right-arm medium,1
62733,465327,Innocent Kaia,1992-08-10,M,right-hand bat,legbreak,9
89097,959759,Finn Allen,1999-04-22,M,right-hand bat,Unknown,5
109871,1274036,Joseph Marples,1991-07-30,M,right-hand bat,Unknown,18
106213,1197880,Zeko Burgess,1994-08-14,M,right-hand bat,right-arm medium,12
2146,25544,Johanne Samarasekera,1968-02-22,M,right-hand bat,right-arm medium-fast,27
49282,235532,Cephas Zhuwao,1984-12-15,M,left-hand bat,slow left-arm orthodox,9
1503,36180,Robert Anderson,1948-10-02,M,right-hand bat,legbreak,5
10384,37737,Brendon McCullum,1981-09-27,M,right-hand bat,right-arm medium,5
2120,51469,Shivnarine Chanderpaul,1974-08-16,M,left-hand bat,legbreak,4
59806,403317,Iain Latin,1984-06-14,M,right-hand bat,legbreak,18
52656,303669,Joe Root,1990-12-30,M,right-hand bat,right-arm offbreak,1
2204,55906,Habibul Bashar,1972-08-17,M,right-hand bat,right-arm offbreak,25
47352,56025,Mahmudullah,1986-02-04,M,right-hand bat,right-arm offbreak,25
47205,55412,Craig Ervine,1985-08-19,M,left-hand bat,right-arm offbreak,9
80639,823509,Glenn Phillips,1996-12-06,M,right-hand bat,right-arm offbreak,5
10423,55608,Hamilton Masakadza,1983-08-09,M,right-hand bat,right-arm medium,9
1444,37254,Geoff Howarth,1951-03-29,M,right-hand bat,right-arm offbreak,5
35647,37091,Peter Fulton,1979-02-01,M,right-hand bat,right-arm medium,5
1982,52337,Brian Lara,1969-05-02,M,left-hand bat,legbreak googly,4
65881,524219,Kayron J Stagno,1993-09-07,M,right-hand bat,right-arm offbreak,18
47055,24598,Eoin Morgan,1986-09-10,M,left-hand bat,right-arm medium,1
10340,56074,Rajin Saleh,1983-11-20,M,right-hand bat,right-arm offbreak,25
114180,1347289,Armando Chuvale,2006-01-27,M,right-hand bat,right-arm medium-fast,171
109779,1273407,Amoluk Singh,1975-06-23,M,right-hand bat,right-arm offbreak,135
105,18007,Billy Newham,1860-12-12,M,right-hand bat,Unknown,1
47986,56029,Mushfiqur Rahim,1987-05-09,M,right-hand bat,Unknown,25
51554,293831,Regis Chakabva,1987-09-20,M,right-hand bat,right-arm offbreak,9
58772,381743,Daryl Mitchell,1991-05-20,M,right-hand bat,right-arm medium,5
45253,55814,Brendan Taylor,1986-02-06,M,right-hand bat,right-arm offbreak,9
1566,36951,Bruce Edgar,1956-11-23,M,left-hand bat,right-arm bowler,5
9570,38407,Scott Styris,1975-07-10,M,right-hand bat,right-arm medium,5
1873,52066,Carl Hooper,1966-12-15,M,right-hand bat,right-arm offbreak,4
103389,1156724,James Fitzgerald,1999-04-10,M,right-hand bat,right-arm medium-fast,18
53320,311158,Ben Stokes,1991-06-04,M,left-hand bat,right-arm fast-medium,1
24667,55988,Mohammad Ashraful,1984-07-07,M,right-hand bat,right-arm offbreak,25
48277,56143,Shakib Al Hasan,1987-03-24,M,left-hand bat,slow left-arm orthodox,25
2232,45789,Jacques Kallis,1975-10-16,M,right-hand bat,right-arm fast-medium,3
44930,38699,Ross Taylor,1984-03-08,M,right-hand bat,right-arm offbreak,5
2131,52059,Roland Holder,1967-12-22,M,right-hand bat,right-arm medium,4
55830,338535,Jonathan West,1981-05-16,M,right-hand bat,right-arm medium,18
53271,308967,Jos Buttler,1990-09-08,M,right-hand bat,Unknown,1
45558,56266,Aftab Ahmed,1985-11-10,M,right-hand bat,right-arm medium,25
58220,373538,Sabbir Rahman,1991-11-22,M,right-hand bat,legbreak,25
96949,1089929,Ayo Mene-Ejegi,1990-12-07,M,right-hand bat,right-arm medium,5615
2159,22403,Craig White,1969-12-16,M,right-hand bat,right-arm fast-medium,1
1987,49125,Chandika Hathurusinghe,1968-09-13,M,right-hand bat,right-arm medium-fast,8
9989,38062,Jacob Oram,1978-07-28,M,left-hand bat,right-arm fast-medium,5
2070,52442,Junior Murray,1968-01-20,M,right-hand bat,Unknown,4
106746,1204627,Kenroy Nestor,1988-09-08,M,right-hand bat,right-arm fast,18
46597,8917,Moeen Ali,1987-06-18,M,left-hand bat,right-arm offbreak,1
2201,55954,Khaled Mashud,1976-02-08,M,right-hand bat,Unknown,25
52363,300618,Nasir Hossain,1991-11-30,M,right-hand bat,right-arm offbreak,25
67178,547749,Will Young,1992-11-22,M,right-hand bat,right-arm offbreak,5
47234,55346,Graeme Cremer,1986-09-19,M,right-hand bat,legbreak googly,9
64447,495964,Ryan Burl,1994-04-15,M,left-hand bat,legbreak,9
1521,36952,Jock Edwards,1955-05-27,M,right-hand bat,Unknown,5
7410,38393,Mathew Sinclair,1975-11-09,M,right-hand bat,right-arm medium,5
66876,541224,Luke Jongwe,1995-02-06,M,right-hand bat,right-arm fast-medium,9
24672,56007,Mashrafe Mortaza,1983-10-05,M,right-hand bat,right-arm fast-medium,25
